age,gender,employment,country,shop_freq,platform,monthly_spend,review_read_freq,reviews_read_n,key_review_feature,returned_product,bought_without_reviews,RQ1,RQ2,RQ3,RQ4,VPT1,VPT2,VPT3,RIN1,RIN2,RIN3,RIN4,PI,shop_freq_n,review_read_n,reviews_read_num,spend_n,review_reliance,returned_n,longstring,careless_flag
18–24,Female,Part-time employed,United Kingdom,Monthly,SHEIN,Less than £50,Often,4–6,Customer Photos,No,Rarely,3.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,1,3,4,2,1,3,0,3,0
18–24,Male,Student,United Kingdom,More than once a week,Amazon,Less than £50,Always,1–3,Star Rating,Yes,Frequently,5.0,5.0,5.0,5.0,1.0,3.0,4.0,1.0,3.0,2.0,5.0,3,5,5,1,1,1,1,4,0
25–34,Female,Full-time employed,India,Weekly,IKEA,£251–£500,Rarely,1–3,Helpful Votes,Yes,Rarely,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4,4,2,1,4,3,1,4,0
18–24,Male,Student,India,Every few months,Amazon,£50–£100,Always,1–3,Verified Purchase Badge,No,Sometimes,3.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4,2,5,1,2,2,0,4,0
18–24,Male,Student,India,Weekly,Amazon,£50–£100,Always,4–6,Star Rating,Yes,Sometimes,5.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,4,4,5,2,2,2,1,4,0
18–24,Male,Student,India,Monthly,Amazon,£50–£100,Always,4–6,Customer Photos,Yes,Sometimes,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3,3,5,2,2,2,1,11,0
25–34,Male,Student,India,Monthly,Amazon,Less than £50,Always,More than 10,Customer Photos,Yes,Rarely,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3,3,5,4,1,3,1,7,0
25–34,Female,Full-time employed,India,Monthly,SHEIN,£50–£100,Often,4–6,Customer Photos,Yes,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,4,2,2,3,1,11,1
18–24,Female,Student,India,Monthly,Amazon,Less than £50,Always,7–10,Customer Photos,No,Rarely,4.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4,3,5,3,1,3,0,2,0
25–34,Male,Full-time employed,India,More than once a week,Amazon,£251–£500,Always,More than 10,Star Rating,Yes,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,4,4,3,1,11,1
25–34,Male,Full-time employed,India,Weekly,Amazon,£101–£250,Always,7–10,Customer Photos,Yes,Never,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5,4,5,3,3,4,1,2,0
18–24,Male,Full-time employed,India,Monthly,Amazon,Less than £50,Always,7–10,Customer Photos,Yes,Never,3.0,5.0,3.0,3.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,4,3,5,3,1,4,1,2,0
18–24,Female,Student,India,Monthly,Amazon,£101–£250,Always,1–3,Star Rating,Yes,Frequently,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3,3,5,1,3,1,1,4,0
25–34,Female,Full-time employed,India,Rarely,Amazon,Less than £50,Always,7–10,Customer Photos,Yes,Sometimes,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4,1,5,3,1,2,1,3,0
25–34,Male,Full-time employed,India,Monthly,Amazon,£50–£100,Often,4–6,Written Review,Yes,Sometimes,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4,3,4,2,2,2,1,4,0
25–34,Male,Full-time employed,India,Weekly,Zara,£50–£100,Rarely,1–3,Written Review,No,Frequently,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4,4,2,1,2,1,0,5,0
18–24,Female,Student,India,Every few months,Amazon,£101–£250,Always,7–10,Customer Photos,No,Sometimes,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4,2,5,3,3,2,0,11,0
18–24,Female,Student,India,Monthly,Amazon,Less than £50,Sometimes,4–6,Star Rating,Yes,Sometimes,4.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,3,3,3,2,1,2,1,2,0
18–24,Female,Student,India,Monthly,Other,£251–£500,Always,More than 10,Customer Photos,Yes,Never,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5,3,5,4,4,4,1,4,0
18–24,Female,Student,India,Every few months,Amazon,Less than £50,Always,4–6,Customer Photos,Yes,Never,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,2,5,2,1,4,1,11,0
25–34,Female,Other,India,Monthly,Amazon,More than £500,Always,7–10,Star Rating,Yes,Frequently,5.0,4.0,4.5,4.5,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3,3,5,3,5,1,1,4,0
18–24,Male,Student,India,Rarely,Amazon,£50–£100,Always,4–6,Customer Photos,Yes,Sometimes,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,1,5,2,2,2,1,11,0
25–34,Female,Self-employed,India,Every few months,Amazon,£101–£250,Always,4–6,Customer Photos,Yes,Never,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4,2,5,2,3,4,1,7,0
18–24,Male,Full-time employed,India,Every few months,Amazon,Less than £50,Always,4–6,Customer Photos,Yes,Rarely,3.0,2.0,1.0,1.0,1.0,2.0,3.0,5.0,3.0,4.0,1.0,4,2,5,2,1,3,1,3,0
