Variable,Category,n,%
age,18–24,36,65.5
age,25–34,17,30.9
age,45–54,1,1.8
age,35–44,1,1.8
gender,Female,27,49.1
gender,Male,27,49.1
gender,Prefer not to say,1,1.8
employment,Student,25,45.5
employment,Full-time employed,20,36.4
employment,Part-time employed,4,7.3
employment,Self-employed,3,5.5
employment,Other,2,3.6
employment,Unemployed,1,1.8
country,India,44,80.0
country,United Kingdom,9,16.4
country,Canada,2,3.6
shop_freq,Monthly,22,40.0
shop_freq,Every few months,13,23.6
shop_freq,Weekly,7,12.7
shop_freq,Rarely,7,12.7
shop_freq,More than once a week,6,10.9
platform,Amazon,41,74.5
platform,SHEIN,6,10.9
platform,Other,3,5.5
platform,Flipkart,2,3.6
platform,IKEA,1,1.8
platform,Zara,1,1.8
platform,Temu,1,1.8
monthly_spend,Less than £50,22,40.0
monthly_spend,£50–£100,20,36.4
monthly_spend,£101–£250,8,14.5
monthly_spend,£251–£500,4,7.3
monthly_spend,More than £500,1,1.8
review_read_freq,Always,42,76.4
review_read_freq,Often,6,10.9
review_read_freq,Sometimes,5,9.1
review_read_freq,Rarely,2,3.6
reviews_read_n,4–6,23,41.8
reviews_read_n,7–10,13,23.6
reviews_read_n,More than 10,10,18.2
reviews_read_n,1–3,9,16.4
key_review_feature,Customer Photos,29,52.7
key_review_feature,Star Rating,13,23.6
key_review_feature,Written Review,8,14.5
key_review_feature,Verified Purchase Badge,4,7.3
key_review_feature,Helpful Votes,1,1.8
returned_product,Yes,45,81.8
returned_product,No,10,18.2
bought_without_reviews,Rarely,22,40.0
bought_without_reviews,Sometimes,18,32.7
bought_without_reviews,Never,10,18.2
bought_without_reviews,Frequently,5,9.1
