Construct,Item,Mean,SD,Corrected item-total r,Alpha if item deleted
Perceived Review Quality,RQ1,3.815,1.117,0.787,0.862
Perceived Review Quality,RQ2,4.074,1.211,0.787,0.861
Perceived Review Quality,RQ3,3.806,1.057,0.781,0.866
Perceived Review Quality,RQ4,3.62,1.285,0.745,0.88
Trust in Verified-Purchase Reviews,VPT1,3.5,1.161,0.745,0.711
Trust in Verified-Purchase Reviews,VPT2,3.796,1.155,0.845,0.602
Trust in Verified-Purchase Reviews,VPT3,3.389,1.071,0.51,0.927
Perceived Review Influence,RIN1,3.778,1.093,0.738,0.862
Perceived Review Influence,RIN2,3.759,1.027,0.741,0.861
Perceived Review Influence,RIN3,3.648,1.012,0.865,0.816
Perceived Review Influence,RIN4,3.667,1.149,0.688,0.883
