Category,Grouping variable,count,mean,std,median
Frequently,bought_without_reviews,5,3.2,0.447,3.0
Never,bought_without_reviews,10,4.1,0.568,4.0
Rarely,bought_without_reviews,22,3.364,1.002,4.0
Sometimes,bought_without_reviews,18,3.444,0.856,3.5
Always,review_read_freq,42,3.595,0.798,4.0
Often,review_read_freq,6,3.333,1.211,4.0
Rarely,review_read_freq,2,4.0,0.0,4.0
Sometimes,review_read_freq,5,2.8,1.095,3.0
Less than £50,monthly_spend,22,3.364,0.79,3.5
More than £500,monthly_spend,1,3.0,,3.0
£101–£250,monthly_spend,8,3.75,0.707,4.0
£251–£500,monthly_spend,4,4.5,0.577,4.5
£50–£100,monthly_spend,20,3.4,0.995,4.0
18–24,age,36,3.361,0.961,3.5
25–34,age,17,3.765,0.664,4.0
35–44,age,1,4.0,,4.0
45–54,age,1,4.0,,4.0
Female,gender,27,3.593,0.844,4.0
Male,gender,27,3.407,0.931,3.0
Prefer not to say,gender,1,4.0,,4.0
