,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
RQ1,54.0,3.815,1.117,1.0,3.0,4.0,5.0,5.0,-0.968,0.774
RQ2,54.0,4.074,1.211,1.0,4.0,4.5,5.0,5.0,-1.339,0.984
RQ3,54.0,3.806,1.057,1.0,3.0,4.0,4.875,5.0,-0.995,0.902
RQ4,54.0,3.62,1.285,1.0,3.0,4.0,5.0,5.0,-0.742,-0.351
VPT1,54.0,3.5,1.161,1.0,3.0,4.0,4.0,5.0,-0.788,0.217
VPT2,54.0,3.796,1.155,1.0,3.0,4.0,5.0,5.0,-0.804,-0.004
VPT3,54.0,3.389,1.071,1.0,3.0,3.0,4.0,5.0,-0.369,-0.281
RIN1,54.0,3.778,1.093,1.0,3.0,4.0,4.75,5.0,-1.068,1.022
RIN2,54.0,3.759,1.027,1.0,3.0,4.0,4.75,5.0,-0.686,0.3
RIN3,54.0,3.648,1.012,1.0,3.0,4.0,4.0,5.0,-0.705,0.269
RIN4,54.0,3.667,1.149,1.0,3.0,4.0,4.0,5.0,-0.852,0.174
PI,55.0,3.509,0.879,1.0,3.0,4.0,4.0,5.0,-1.046,1.908
