Grouping variable,Test,Groups compared,n,Statistic,p-value,Significant at .05
age,Mann-Whitney U,2,53,242.0,0.187,No
gender,Mann-Whitney U,2,54,411.5,0.3793,No
employment,Kruskal-Wallis H,4,52,1.321,0.7242,No
shop_freq,Kruskal-Wallis H,5,55,5.409,0.2478,No
monthly_spend,Kruskal-Wallis H,4,54,7.214,0.0654,No
review_read_freq,Kruskal-Wallis H,3,53,3.05,0.2176,No
reviews_read_n,Kruskal-Wallis H,4,55,1.538,0.6736,No
key_review_feature,Kruskal-Wallis H,4,54,4.713,0.1941,No
returned_product,Mann-Whitney U,2,55,218.5,0.886,No
bought_without_reviews,Kruskal-Wallis H,4,55,7.685,0.053,No
platform,Kruskal-Wallis H,3,50,2.687,0.2609,No
